Include Group	Group Name	Combine	Platform-Type-OS-Version	Name	Location	Environment	Test Data
No	Login		IOS-Simulator-IOS-9.1	iPad 2	Local	Stage	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING'"
No	Login		Android-Device-Android-4.4	Samsung Galaxy S5	Local	Stage	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING'"
No	CreateSchedule		IOS-Simulator-IOS-10.0	iPhone 6	Local	Dogfooding	"AcquisitionType=Automatic, Tags='LYRIC_STAT,SERVER_JASPER_DOGFOODING'"
No	EditNAGeofencescheduleWithSleepsettings		Android-Device-Android-5.0	Samsung Galaxy S5	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofencescheduleWithSleepsettings		IOS-Simulator-IOS-10.0	iPhone 6	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofenceschedulevalueWithoutsleepsettings		Android-Device-Android-5.0	Samsung Galaxy S5	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofenceschedulevalueWithoutsleepsettings		IOS-Simulator-IOS-10.0	iPhone 6	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofenceschedulevaluesleepsettings		Android-Device-Android-5.0	Samsung Galaxy S5	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofenceschedulevaluesleepsettings		IOS-Simulator-IOS-10.0	iPhone 6	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofencescheduleTemperatureRange		Android-Device-Android-5.0	Samsung Galaxy S5	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
Yes	EditNAGeofencescheduleTemperatureRange		IOS-Simulator-IOS-10.0	iPhone 6	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
No	EditNAGeofencescheduleSinglestatTemperatureAutochangeoverEnabled		Android-Device-Android-5.0	Samsung Galaxy S5	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
Yes	EditNAGeofencescheduleSinglestatTemperatureAutochangeoverEnabled		IOS-Simulator-IOS-10.0	iPhone 6	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,SPECIFIC_SETTINGS'"
No	EditNAGeofencescheduleTimeformat		Android-Device-Android-5.0	Samsung Galaxy S5	Perfecto	Production	"AcquisitionType=Automatic, Tags='REFACTOR_JASPER_NA_PROD,SINGLE_LOCATION_SINGLE_DEVICE,BASIC_SETTINGS'"
